,correlation_with_ridership
log_avg_ridership,0.7588099495729864
jobs_access_network,0.6760362361175437
cultural_count_0p5mi,0.5708811133288633
bus_routes_access_network,0.5609696849648715
pct_walked_access_network,0.5548147997244385
subway_trips_per_hour_am_peak,0.5296131811042248
subway_lines_access_network,0.5109572964986978
cultural_count_0p25mi,0.5095298966137852
cultural_count_0p5mi_log1p,0.4935545486533563
cultural_count_0p25mi_log1p,0.48438303418830747
cultural_count_0p25mi_capped10,0.45394131835001483
avg_bg_median_hh_income_access_network,0.41580916847023863
citibike_count_0p5mi,0.40750088536672957
station_complex_id,0.3870820048105268
median_hh_income_access_network,0.3822142483977414
pct_taxicab_access_network,0.3800570370046654
pct_wfh_access_network,0.3581267869400406
has_university_0p25mi,0.34695444059622293
cultural_count_0p5mi_capped10,0.33274360923415125
commuter_lines_access_network,0.3257560635359759
has_university_0p5mi,0.31903487702411665
pct_other_means_access_network,0.2146523869863826
has_cultural_0p25mi,0.20993879020589454
midday_tph_perdir,0.20230420689836115
midday_tph_bidir,0.20230420689836115
pct_bicycle_access_network,0.1986929422736102
pop_density_0p5mi,0.16430640566762775
population_0p5mi,0.16430583252137584
has_commuter_stop_within_1mi_network,0.16131905742387054
has_hospital_0p5mi,0.15916590705372113
peak_tph_perdir,0.14594772556579913
peak_tph_bidir,0.14594772556579913
subway_lines_serving_station,0.13203636626519805
has_cultural_0p5mi,0.12038646023169941
has_hospital_0p25mi,0.10929328250610319
has_stadium_0p1mi,0.031906522824013954
intersection_density_0p5mi,0.028066091321357588
intersection_count_0p5mi,0.028066091309533185
population_access_network,0.01784183278304823
is_terminal_subway,-0.009141700135806504
landuse_k_categories_0p5mi,-0.026005831311476286
avg_headway_min_am_peak__was_na,-0.027270364156429455
adjacent_major_park_0p5mi,-0.07676236331131724
adjacent_major_park_0p25mi,-0.09211926147996367
landuse_simpson_0p5mi,-0.12003415588077382
landuse_entropy_0p5mi,-0.15889614009071007
dist_to_commuter_stop_mi_network__was_na,-0.16131905742387048
dist_to_commuter_stop_ft_network__was_na,-0.16131905742387048
landuse_entropy_relative_0p5mi,-0.16175518836487326
pop_rank,-0.1625262463893783
dist_to_commuter_stop_mi_network,-0.21332371599013505
dist_to_commuter_stop_ft_network,-0.21332371601090858
peak_tph_perdir__was_na,-0.21971143003623186
midday_tph_perdir__was_na,-0.21971143003623186
pct_transit_access_network,-0.23667582457953437
avg_headway_min_am_peak,-0.34766112657116377
pct_car_truck_van_access_network,-0.3608191618988873
pct_hh_no_vehicle_access_network,-0.36128774404899155
buffer_area_sqmi,
transfer_subway_station_complexes_0p25mi_network,
transfer_subway_station_complexes_0p10mi_network,
has_subway_station_complex_within_1mi_network,
dist_to_subway_station_complex_ft_network,
dist_to_subway_station_complex_mi_network,
is_ibx_planned,
